Family Number	Protein Family
1448	carotenoid/retinoid oxidoreductase family
1449	carotenoid/retinoid oxidoreductase family. CrtISO subfamily
1450	carotenoid/retinoid oxidoreductase family. CrtN subfamily
1451	carotenoid/retinoid oxidoreductase family. CrtP subfamily
1452	CART family
1453	CAS family
1454	CASC3 family
1455	casein kinase 2 subunit beta family
1456	CASP family
1457	Casparian strip membrane proteins (CASP) family
1458	castor/pollux (TC 1.A.1.23) family
1459	catalase family
1460	catalase family. HPII subfamily
1461	cathelicidin family
1462	cation channel sperm-associated (TC 1.A.1.19) family
1463	cation diffusion facilitator (CDF) transporter (TC 2.A.4) family
1464	cation diffusion facilitator (CDF) transporter (TC 2.A.4) family. FieF subfamily
1465	cation diffusion facilitator (CDF) transporter (TC 2.A.4) family. SLC30A subfamily
1466	cation transport ATPase (P-type) (TC 3.A.3) family
1467	cation transport ATPase (P-type) (TC 3.A.3) family. Type IA subfamily
1468	cation transport ATPase (P-type) (TC 3.A.3) family. Type IB subfamily
1469	cation transport ATPase (P-type) (TC 3.A.3) family. Type II subfamily
1470	cation transport ATPase (P-type) (TC 3.A.3) family. Type IIA subfamily
1471	cation transport ATPase (P-type) (TC 3.A.3) family. Type IIB subfamily
1472	cation transport ATPase (P-type) (TC 3.A.3) family. Type IIC subfamily
1473	cation transport ATPase (P-type) (TC 3.A.3) family. Type IID subfamily
1474	cation transport ATPase (P-type) (TC 3.A.3) family. Type IIIA subfamily
1475	cation transport ATPase (P-type) (TC 3.A.3) family. Type IIIB subfamily
1476	cation transport ATPase (P-type) (TC 3.A.3) family. Type IV subfamily
1477	cation transport ATPase (P-type) (TC 3.A.3) family. Type IV subfamily.
1478	cation transport ATPase (P-type) (TC 3.A.3) family. Type V subfamily
1479	cationic peptide 01 (latrotoxin) family. 01 (alpha-latrocrustotoxin) subfamily
1480	cationic peptide 01 (latrotoxin) family. 02 (alpha-latroinsectotoxin) subfamily
1481	cationic peptide 01 (latrotoxin) family. 03 (alpha-latrotoxin) subfamily
1482	cationic peptide 01 (latrotoxin) family. 04 (delta-latroinsectotoxin) subfamily
1483	cationic peptide 02 (oxyopinin-2) family
1484	cationic peptide 03 (latarcin) family. 01 subfamily
1485	cationic peptide 03 (latarcin) family. 02 subfamily
1486	cationic peptide 03 (latarcin) family. 03 subfamily
1487	cationic peptide 03 (latarcin) family. 04 subfamily
1488	cationic peptide 03 (latarcin) family. 05 subfamily
1489	cationic peptide 03 (latarcin) family. 06 subfamily
1490	cationic peptide 03 (latarcin) family. 07 subfamily
1491	cationic peptide 04 (cupiennin) family. 01 subfamily
1492	cationic peptide 04 (cupiennin) family. 03 subfamily
1493	cationic peptide 04 (cupiennin) family. 04 subfamily
1494	cationic peptide 04 (cupiennin) family. 08 subfamily
1495	CATSPERD family
1496	CATSPERG family
1497	Caudal homeobox family
1498	Caudovirales dATP triphosphohydrolase family
1499	Caudovirales dATP/dGTP diphosphohydrolase family
1500	Caudovirales head completion nuclease family
1501	caudovirales o-spanin family
1502	Caudovirales PurZ family
1503	caudovirales tail fiber protein family
1504	caulimoviridae enzymatic polyprotein family
1505	caulimoviridae movement protein family
1506	caulimoviridae ORF II family
1507	caulimoviridae viroplasmin family
1508	caulimovirus ORF III family
1509	caveolin family
1510	CAVIN family
1511	CbbQ/NirQ/NorQ/GpvN family
1512	CbeA/YafW/YfjZ antitoxin family
1513	CBF-beta family
1514	CBF/MAK21 family
1515	CBFA2T family
1516	CbiD family
1517	CbiG family
1518	CbiK family
1519	CbiM family
1520	CbiM family. NikM subfamily
1521	CbiN family
1522	CbiQ family
1523	CbiX family. CbiXL subfamily
1524	CbiX family. CbiXS subfamily
1525	CbiX family. SirB subfamily
1526	CbiZ family
1527	CBP3 family
1528	CBP4 family
1529	CbpM family
1530	CbrA family
1531	CbtA/YkfI/YpjF toxin family
1532	CbxX/CfxQ family
1533	CC2D1 family
1534	CCBE1 family
1535	CCC1 family
1536	CcdA antitoxin family
1537	CcdB toxin family
1538	CCDC103/PR46b family
1539	CCDC124 family
1540	CCDC134 family
1541	CCDC144 family
1542	CCDC149 family
1543	CCDC169 family
1544	CCDC181 family
1545	CCDC22 family
1546	CCDC25 family
1547	CCDC40 family
1548	CCDC47 family
1549	CCDC53 family
1550	CCDC78 family
1551	CCDC80 family
1552	CCDC85 family
1553	CCDC87 family
1554	CCDC88 family
1555	CCDC90 family
1556	CCDC93 family
1557	CCM1 family
1558	CCM2 family
1559	CcmB/CycW/HelB family
1560	CcmC/CycZ/HelC family
1561	CcmD/CycX/HelD family
1562	CcmE/CycJ family
1563	CcmF/CycK/Ccl1/NrfE/CcsA family
1564	CcmH/CycL/Ccl2/NrfF family
1565	CcmL/EutN family
1566	CcmL/EutN family. CcmL subfamily
1567	CcmL/EutN family. CsoS4 subfamily
1568	CCN family
1569	CCNDBP1 family
1570	CcoP / FixP family
1571	CCR4/nocturin family
1572	CCR4/nocturin family. TTRAP/TDP2 subfamily
1573	CCS1 family
1574	Ccs1/CcsB family
1575	CCSAP family
1576	CCW14 family
1577	CCZ1 family
1578	CD-NTase family. D01 subfamily
1579	CD-NTase family. D02 subfamily
1580	CD-NTase family. D05 subfamily
1581	CD-NTase family. E01 subfamily
1582	CD-NTase family. E05 subfamily
1583	CD-NTase family. G05 subfamily
1584	CD164 family
1585	CD200R family
1586	CD225/Dispanin family
1587	CD24 family
1588	CD300 family
1589	CD34 family
1590	CD36 family
1591	CD3Z/FCER1G family
1592	CD99 family
1593	CdaR family
1594	CDC123 family
1595	CDC26 family
1596	CDC37 family
1597	CDC42SE/SPEC family
1598	CDC45 family
1599	CDC50/LEM3 family
1600	CDC6/cdc18 family
1601	CDC73 family
1602	Cdh family
1603	CdhB family
1604	CdhC family
1605	CdhD family
1606	CDI family
1607	CDI family. ICK/KRP subfamily
1608	CdiA toxin family
1609	CDIP1/LITAF family
1610	CDK2AP family
1611	CDK5RAP3 family
1612	CDKN2 cyclin-dependent kinase inhibitor family
1613	CDP-alcohol phosphatidyltransferase class-I family
1614	CDP-alcohol phosphatidyltransferase class-II family
1615	CDP-archaeol synthase family
1616	CDP-glycerol glycerophosphotransferase family
1617	CDPF1 family
1618	CDPS family
1619	CDS family
1620	Cdt1 family
1621	CDV3 family
1622	cecropin family
1623	ced-6 family
1624	CedA family
1625	CEF1 family
1626	CELF/BRUNOL family
1627	cell wall mannoprotein 1 family
1628	cellobiose 2-epimerase family
1629	Cema family
1630	CEMIP family
1631	CEND1 family
1632	CENP-C/MIF2 family
1633	CENP-H/MCM16 family
1634	CENP-I/CTF3 family
1635	CENP-K/MCM22 family
1636	CENP-L/IML3 family
1637	CENP-N/CHL4 family
1638	CENP-O/MCM21 family
1639	CENP-P/CTF19 family
1640	CENP-Q/OKP1 family
1641	CENP-T/CNN1 family
1642	CENP-U/AME1 family
1643	CENP-W/WIP1 family
1644	CENP-X/MHF2 family
1645	centaurin gamma-like family
1646	centrin family
1647	centromere protein F family
1648	CEP120 family
1649	CEP170 family
1650	CEP19 family
1651	CEP41 family
1652	CEP43 family
1653	CEP63 family
1654	CEP72 family
1655	CEP76 family
1656	CEP78 family
1657	cerato-platanin family
1658	cerato-ulmin hydrophobin family
1659	cereal trypsin/alpha-amylase inhibitor family
1660	CesT/SycH chaperone family
1661	CetZ family
1662	CFA/CMAS family
1663	CFAP100 family
1664	CFAP144 family
1665	CFAP20 family
1666	CFAP206 family
1667	CFAP298 family
1668	CFAP300 family
1669	CFAP36 family
1670	CFAP43 family
1671	CFAP44 family
1672	CFAP45 family
1673	CFAP46 family
1674	CFAP52 family
1675	CFAP53 family
1676	CFAP54 family
1677	CFAP65 family
1678	CFAP68 family
1679	CFAP70 family
1680	CFAP73 family
1681	CFAP74 family
1682	CFAP77 family
1683	CFAP91 family.
1684	CFAP97 family
1685	CFT1 family
1686	CGI121/TPRKB family
1687	CGR1 family
1688	ChaB family
1689	CHAF1A family
1690	chalcone isomerase family
1691	channel forming colicin family
1692	chaoptin family
1693	chaperone-like protein of POR1 protein family
1694	chaperonin (HSP60) family
1695	chaplin family. Long chaplin subfamily
1696	chaplin family. Short chaplin subfamily
1697	CHAPS family
1698	CHCHD7 family
1699	ChdC family. Type 1 subfamily
1700	ChdC family. Type 2 subfamily
1701	CheB family
1702	CheC family
1703	CheD family
1704	chemokine-like factor family
1705	chemokine-like receptor (CMKLR) family
1706	CheW family
1707	CheZ family
1708	CHFR family
1709	chibby family
1710	chibby family. SPERT subfamily
1711	CHIC family
1712	CHIPS/FLIPr family
1713	chitin synthase family
1714	chitin synthase family. Class I subfamily
1715	chitin synthase family. Class II subfamily
1716	chitin synthase family. Class III subfamily
1717	chitin synthase family. Class IV subfamily
1718	chitin synthase family. Class V subfamily
1719	chitin synthase family. Class VI subfamily
1720	chlamydial CPn_0087/CT3_09/TC_0583 family
1721	chlamydial CPn_0087/CT_309/TC_0583 family
1722	chlamydial CPn_0128/CT_035/TC_0305 family
1723	chlamydial CPn_0206/CT203/TC_0475 family
1724	chlamydial CPn_0206/CT_203/TC_0475 family
1725	chlamydial CPn_0389/CT_041/TC_0311 family
1726	chlamydial CPn_0422/CT_273/TC_0545 family
1727	chlamydial CPn_0442/CT_006/TC_0274 family
1728	chlamydial CPn_0443/CT_005/TC_0273 family
1729	chlamydial CPn_0512/CT_425/TC_0708 family
1730	chlamydial CPn_0572/CT_456/TC_0741 family
1731	chlamydial CPn_0593/CT_474/TC_0759 family
1732	chlamydial CPn_0658/CT_538/TC_0825 family
1733	chlamydial CPn_0705/CT_671/TC_0042 family
1734	chlamydial CPn_0710/CT_666/TC_0037 family
1735	chlamydial CPn_0711/CT_665/TC_0036 family
1736	chlamydial CPn_0713/CT_663/TC_0034 family
1737	chlamydial CPn_0803/CT_584/TC_0873 family
1738	chlamydial CPn_0808/CT579/TC_0868 family
1739	chlamydial CPn_0808/CT_579/TC_0868 family
1740	chlamydial CPn_1016/CT_858/TC_0248 family
1741	chlamydial OMP family
1742	chlamydial porin (CP) (TC 1.B.2) family
1743	ChlB/BchB/BchZ family
1744	chloramphenicol acetyltransferase family
1745	chloride channel (TC 2.A.49) family
1746	chloride channel (TC 2.A.49) family. ClC- 1/CLCN1 subfamily
1747	chloride channel (TC 2.A.49) family. ClC- 2/CLCN2 subfamily
1748	chloride channel (TC 2.A.49) family. ClC- 3/CLCN3 subfamily
1749	chloride channel (TC 2.A.49) family. ClC- 4/CLCN4 subfamily
1750	chloride channel (TC 2.A.49) family. ClC- 5/CLCN5 subfamily
1751	chloride channel (TC 2.A.49) family. ClC- 6/CLCN6 subfamily
1752	chloride channel (TC 2.A.49) family. ClC- 7/CLCN7 subfamily
1753	chloride channel (TC 2.A.49) family. ClC-0 subfamily
1754	chloride channel (TC 2.A.49) family. ClcA subfamily
1755	chloride channel (TC 2.A.49) family. ClcB subfamily
1756	chloride channel (TC 2.A.49) family. CLCNKA subfamily
1757	chloride channel (TC 2.A.49) family. CLCNKB subfamily
1758	chloride channel CLIC family
1759	chloride channel MCLC family
1760	chlorite dismutase family
1761	chloroperoxidase family
1762	chloroplast envelope anion channel-forming Tic110 (TC 1.A.18) family
1763	chloroplast sensor kinase protein family
1764	chloroplast-specific ribosomal protein cL38 family
1765	chloroplast-specific ribosomal protein cS22 family
1766	chloroplast-specific ribosomal protein cS23 family
1767	cholesterol 7-desaturase family
1768	cholesterol-dependent cytolysin family
1769	choline monooxygenase family
1770	choline/ethanolamine kinase family
1771	chondroitin N- acetylgalactosaminyltransferase family
1772	chondromodulin-1 family
1773	chordin family
1774	chordopoxvirinae A13 family
1775	chordopoxvirinae A14 family
1776	chordopoxvirinae A15 family
1777	chordopoxvirinae A17 family
1778	chordopoxvirinae A19 family
1779	chordopoxvirinae A21 family
1780	chordopoxvirinae A26 protein family
1781	chordopoxvirinae A30 family
1782	chordopoxvirinae A35 protein family
1783	chordopoxvirinae A37 protein family
1784	chordopoxvirinae A6 family
1785	chordopoxvirinae A9 family
1786	chordopoxvirinae B9 protein family
1787	chordopoxvirinae D2 family
1788	chordopoxvirinae D3 family
1789	chordopoxvirinae E11 family
1790	chordopoxvirinae E6 family
1791	chordopoxvirinae G7 family
1792	chordopoxvirinae H7 family
1793	chordopoxvirinae I1 family
1794	chordopoxvirinae I2 family
1795	Chordopoxvirinae I5 family
1796	chordopoxvirinae I6 family
1797	chordopoxvirinae J1 family
1798	chordopoxvirinae L2 family
1799	chordopoxvirinae L5 family
1800	chordopoxvirinae mRNA-capping enzyme regulatory subunit family
1801	chordopoxvirinae O1 family
1802	chordopoxvirinae VLTF-1 family
1803	chordopoxvirinae VLTF-2 family
1804	chordopoxvirinae VP8 family
1805	chorion protein family
1806	chorion protein S15/S18 family
1807	chorion protein S16 family
1808	chorion protein S19 family
1809	chorion protein S36 family
1810	chorismate pyruvate-lyase type 2 family
1811	chorismate synthase family
1812	ChpT phosphotransferase family
1813	chromate ion transporter (CHR) (TC 2.A.51) family
1814	chromogranin/secretogranin protein family
1815	CHS5 family
1816	CHS7 family
1817	Churchill family
1818	CHZ1 family
1819	CI repressor protein family
1820	CIA30 family
1821	CIBAR family
1822	CidA/LrgA family. CidA subfamily
1823	CidA/LrgA family. LrgA subfamily
1824	CidB/LrgB family
1825	CidB/LrgB family. CidB subfamily
1826	CidB/LrgB family. LrgB subfamily
1827	CIDE family
1828	Cif family
1829	CinA family
1830	CinA family. PncC subfamily
1831	cingulin family
1832	circoviridae capsid protein family
1833	CirpT family
1834	CISD protein family
1835	CISD protein family. CISD2 subfamily
1836	CitD family
1837	CITED family
1838	CitG/MdcB family
1839	CitM (TC 2.A.11) transporter family
1840	citrate synthase family
1841	CitX family
1842	CKAP2 family
1843	CKS family
1844	CLASP family
1845	class 1 OLD nuclease family
1846	class A bacterial acid phosphatase family
1847	class B bacterial acid phosphatase family
1848	class I fructose-bisphosphate aldolase family
1849	class I-like SAM-binding methyltransferase superfamily
1850	class I-like SAM-binding methyltransferase superfamily. BMT5 family
1851	class I-like SAM-binding methyltransferase superfamily. BUD23/WBSCR22 family
1852	class I-like SAM-binding methyltransferase superfamily. C5-methyltransferase family
1853	class I-like SAM-binding methyltransferase superfamily. Cation-dependent O-methyltransferase family
1854	class I-like SAM-binding methyltransferase superfamily. Cation-dependent O-methyltransferase family. CCoAMT subfamily
1855	class I-like SAM-binding methyltransferase superfamily. Cation-independent O-methyltransferase family
1856	class I-like SAM-binding methyltransferase superfamily. Cation-independent O-methyltransferase family.
1857	class I-like SAM-binding methyltransferase superfamily. Cation-independent O-methyltransferase family. COMT subfamily
1858	class I-like SAM-binding methyltransferase superfamily. CLNMT methyltransferase family
1859	class I-like SAM-binding methyltransferase superfamily. CmoB family
1860	class I-like SAM-binding methyltransferase superfamily. CmoM family
1861	class I-like SAM-binding methyltransferase superfamily. Cx-SAM synthase family
1862	class I-like SAM-binding methyltransferase superfamily. DOT1 family
1863	class I-like SAM-binding methyltransferase superfamily. DRM-methyltransferase family
1864	class I-like SAM-binding methyltransferase superfamily. EEF2KMT family
1865	class I-like SAM-binding methyltransferase superfamily. EFM4 family
1866	class I-like SAM-binding methyltransferase superfamily. EFM5 family
1867	class I-like SAM-binding methyltransferase superfamily. EFM7 family
1868	class I-like SAM-binding methyltransferase superfamily. Erg6/SMT family
1869	class I-like SAM-binding methyltransferase superfamily. Glycine N-methyltransferase family
1870	class I-like SAM-binding methyltransferase superfamily. gTMT family
1871	class I-like SAM-binding methyltransferase superfamily. HNMT family
1872	class I-like SAM-binding methyltransferase superfamily. Magnesium protoporphyrin O-methyltransferase family
1873	class I-like SAM-binding methyltransferase superfamily. MenG/UbiE family
1874	class I-like SAM-binding methyltransferase superfamily. MenG/UbiE family.
1875	class I-like SAM-binding methyltransferase superfamily. METTL21 family
1876	class I-like SAM-binding methyltransferase superfamily. METTL21 family. EFM6 subfamily
1877	class I-like SAM-binding methyltransferase superfamily. MPBQ/MBSQ MT family
1878	class I-like SAM-binding methyltransferase superfamily. mRNA cap 0 methyltransferase family
1879	class I-like SAM-binding methyltransferase superfamily. NNMT/PNMT/TEMT family
1880	class I-like SAM-binding methyltransferase superfamily. PEAMT family
1881	class I-like SAM-binding methyltransferase superfamily. Poxvirus/kinetoplastid 2'-O-MTase family
1882	class I-like SAM-binding methyltransferase superfamily. Protein arginine N-methyltransferase family
1883	class I-like SAM-binding methyltransferase superfamily. Protein arginine N-methyltransferase family. PRMT6 subfamily
1884	class I-like SAM-binding methyltransferase superfamily. Protein arginine N-methyltransferase family. PRMT7 subfamily
1885	class I-like SAM-binding methyltransferase superfamily. Protein arginine N-methyltransferase family. PRMT8 subfamily
1886	class I-like SAM-binding methyltransferase superfamily. Putrescine methyltransferase family
1887	class I-like SAM-binding methyltransferase superfamily. RKM5 family
1888	class I-like SAM-binding methyltransferase superfamily. RNA M5U methyltransferase family
1889	class I-like SAM-binding methyltransferase superfamily. RNA M5U methyltransferase family. RlmC subfamily
1890	class I-like SAM-binding methyltransferase superfamily. RNA M5U methyltransferase family. RlmD subfamily
1891	class I-like SAM-binding methyltransferase superfamily. RNA M5U methyltransferase family. TrmA subfamily
1892	class I-like SAM-binding methyltransferase superfamily. RNA methyltransferase RlmE family
1893	class I-like SAM-binding methyltransferase superfamily. RNA methyltransferase RlmE family. RlmM subfamily
1894	class I-like SAM-binding methyltransferase superfamily. RNA methyltransferase RlmE family. SPB1 subfamily
1895	class I-like SAM-binding methyltransferase superfamily. RNA methyltransferase RlmE family. TRM7 subfamily
1896	class I-like SAM-binding methyltransferase superfamily. rRNA adenine N(6)-methyltransferase family
1897	class I-like SAM-binding methyltransferase superfamily. rRNA adenine N(6)-methyltransferase family. KsgA subfamily
1898	class I-like SAM-binding methyltransferase superfamily. rRNA adenine N(6)-methyltransferase family. RsmA subfamily
1899	class I-like SAM-binding methyltransferase superfamily. RsmB/NOP family
1900	class I-like SAM-binding methyltransferase superfamily. RsmB/NOP family. TRM4 subfamily
1901	class I-like SAM-binding methyltransferase superfamily. Spermidine/spermine synthase family
1902	class I-like SAM-binding methyltransferase superfamily. TPMT family
1903	class I-like SAM-binding methyltransferase superfamily. Trm1 family
1904	class I-like SAM-binding methyltransferase superfamily. TRM11 methyltransferase family
1905	class I-like SAM-binding methyltransferase superfamily. TRM5/TYW2 family
1906	class I-like SAM-binding methyltransferase superfamily. TRM61 family
1907	class I-like SAM-binding methyltransferase superfamily. TrmB family
1908	class I-like SAM-binding methyltransferase superfamily. UbiG/COQ3 family
1909	class II aldolase/RraA-like family
1910	class II fructose-bisphosphate aldolase family
1911	class II fructose-bisphosphate aldolase family. IolJ subfamily
1912	class II fructose-bisphosphate aldolase family. TagBP aldolase GatY subfamily
1913	class II fructose-bisphosphate aldolase family. TagBP aldolase KbaY subfamily
1914	class II ribonucleoside-triphosphate reductase family
1915	class IV-like SAM-binding methyltransferase superfamily
1916	class IV-like SAM-binding methyltransferase superfamily. Protein arginine N-methyltransferase SFM1 family
1917	class IV-like SAM-binding methyltransferase superfamily. RNA methyltransferase NEP1 family
1918	class IV-like SAM-binding methyltransferase superfamily. RNA methyltransferase TrmH family
1919	class IV-like SAM-binding methyltransferase superfamily. RNA methyltransferase TrmH family. RlmB subfamily
1920	class IV-like SAM-binding methyltransferase superfamily. RNA methyltransferase TrmH family. TrmL subfamily
1921	class IV-like SAM-binding methyltransferase superfamily. RNA methyltransferase TsnR/AvirB family
1922	class IV-like SAM-binding methyltransferase superfamily. TRM10 family
1923	class V-like SAM-binding methyltransferase superfamily
1924	class V-like SAM-binding methyltransferase superfamily. Histone-lysine methyltransferase family
1925	class V-like SAM-binding methyltransferase superfamily. Histone-lysine methyltransferase family. EZ subfamily
1926	class V-like SAM-binding methyltransferase superfamily. Histone-lysine methyltransferase family. PR/SET subfamily
1927	class V-like SAM-binding methyltransferase superfamily. Histone-lysine methyltransferase family. SET2 subfamily
1928	class V-like SAM-binding methyltransferase superfamily. Histone-lysine methyltransferase family. SET3 subfamily
1929	class V-like SAM-binding methyltransferase superfamily. Histone-lysine methyltransferase family. SET5 subfamily
1930	class V-like SAM-binding methyltransferase superfamily. Histone-lysine methyltransferase family. SET7 subfamily
1931	class V-like SAM-binding methyltransferase superfamily. Histone-lysine methyltransferase family. SETD6 subfamily
1932	class V-like SAM-binding methyltransferase superfamily. Histone-lysine methyltransferase family. Suvar3-9 subfamily
1933	class V-like SAM-binding methyltransferase superfamily. Histone-lysine methyltransferase family. Suvar4-20 subfamily
1934	class V-like SAM-binding methyltransferase superfamily. Histone-lysine methyltransferase family. TRX/MLL subfamily
1935	class V-like SAM-binding methyltransferase superfamily. Plant protein-lysine LSMT methyltransferase family
1936	class V-like SAM-binding methyltransferase superfamily. RKM1 family
1937	class V-like SAM-binding methyltransferase superfamily. RKM2 family
1938	class V-like SAM-binding methyltransferase superfamily. SETD3 actin-histidine methyltransferase family
1939	class V-like SAM-binding methyltransferase superfamily. SETD4 family
1940	class VI-like SAM-binding methyltransferase superfamily. CHO2 family
1941	class VI-like SAM-binding methyltransferase superfamily. Isoprenylcysteine carboxyl methyltransferase family
1942	class VI-like SAM-binding methyltransferase superfamily. PEMT/PEM2 methyltransferase family
1943	class-A beta-lactamase family
1944	class-C beta-lactamase family
1945	class-D beta-lactamase family
1946	class-I aminoacyl-tRNA synthetase family
1947	class-I aminoacyl-tRNA synthetase family. GluQ subfamily
1948	class-I aminoacyl-tRNA synthetase family. Glutamate--tRNA ligase type 1 subfamily
1949	class-I aminoacyl-tRNA synthetase family. Glutamate--tRNA ligase type 2 subfamily
1950	class-I aminoacyl-tRNA synthetase family. IleS type 1 subfamily
1951	class-I aminoacyl-tRNA synthetase family. IleS type 2 subfamily
1952	class-I aminoacyl-tRNA synthetase family. MetG type 1 subfamily
1953	class-I aminoacyl-tRNA synthetase family. MetG type 2A subfamily
1954	class-I aminoacyl-tRNA synthetase family. MetG type 2B subfamily
1955	class-I aminoacyl-tRNA synthetase family. MshC subfamily
1956	class-I aminoacyl-tRNA synthetase family. TyrS type 1 subfamily
1957	class-I aminoacyl-tRNA synthetase family. TyrS type 2 subfamily
1958	class-I aminoacyl-tRNA synthetase family. TyrS type 3 subfamily
1959	class-I aminoacyl-tRNA synthetase family. TyrS type 4 subfamily
1960	class-I aminoacyl-tRNA synthetase family. ValS type 1 subfamily
1961	class-I aminoacyl-tRNA synthetase family. ValS type 2 subfamily
1962	class-I DAHP synthase family
1963	class-I fumarase family
1964	class-I pyridine nucleotide-disulfide oxidoreductase family
1965	class-I pyridine nucleotide-disulfide oxidoreductase family. PYROXD1 subfamily
1966	class-I pyridoxal-phosphate-dependent aminotransferase family
1967	class-I pyridoxal-phosphate-dependent aminotransferase family.
1968	class-I pyridoxal-phosphate-dependent aminotransferase family. Alanine aminotransferase subfamily
1969	class-I pyridoxal-phosphate-dependent aminotransferase family. LL-diaminopimelate aminotransferase subfamily
1970	class-I pyridoxal-phosphate-dependent aminotransferase family. MtnE subfamily
1971	class-II aminoacyl-tRNA synthetase family
1972	class-II aminoacyl-tRNA synthetase family. Alax-L subfamily
1973	class-II aminoacyl-tRNA synthetase family. Archaea-specific ThrRS editing domain subfamily
1974	class-II aminoacyl-tRNA synthetase family. AsnA subfamily
1975	class-II aminoacyl-tRNA synthetase family. Editing domain AlaX-L subfamily
1976	class-II aminoacyl-tRNA synthetase family. Editing domain AlaX-M subfamily
1977	class-II aminoacyl-tRNA synthetase family. EpmA subfamily
1978	class-II aminoacyl-tRNA synthetase family. HisZ subfamily
1979	class-II aminoacyl-tRNA synthetase family. O-phosphoseryl-tRNA(Cys) synthetase subfamily
1980	class-II aminoacyl-tRNA synthetase family. Phe-tRNA synthetase alpha subunit type 1 subfamily
1981	class-II aminoacyl-tRNA synthetase family. Phe-tRNA synthetase alpha subunit type 2 subfamily
1982	class-II aminoacyl-tRNA synthetase family. ProS type 1 subfamily
1983	class-II aminoacyl-tRNA synthetase family. ProS type 2 subfamily
1984	class-II aminoacyl-tRNA synthetase family. ProS type 3 subfamily
1985	class-II aminoacyl-tRNA synthetase family. Type 1 subfamily
1986	class-II aminoacyl-tRNA synthetase family. Type 2 subfamily
1987	class-II aminoacyl-tRNA synthetase family. Type-1 seryl-tRNA synthetase subfamily
1988	class-II aminoacyl-tRNA synthetase family. Type-2 seryl-tRNA synthetase subfamily
1989	class-II DAHP synthase family
1990	class-II fumarase/aspartase family
1991	class-II fumarase/aspartase family. Aspartase subfamily
1992	class-II fumarase/aspartase family. Fumarase subfamily
1993	class-II pyridine nucleotide-disulfide oxidoreductase family
1994	class-II pyridoxal-phosphate-dependent aminotransferase family
1995	class-II pyridoxal-phosphate-dependent aminotransferase family. BioF subfamily
1996	class-II pyridoxal-phosphate-dependent aminotransferase family. Histidinol-phosphate aminotransferase subfamily
1997	class-II pyridoxal-phosphate-dependent aminotransferase family. MalY/PatB cystathionine beta-lyase subfamily
1998	class-III pyridine nucleotide-disulfide oxidoreductase family
1999	class-III pyridoxal-phosphate-dependent aminotransferase family
2000	class-III pyridoxal-phosphate-dependent aminotransferase family. ArgD subfamily
2001	class-III pyridoxal-phosphate-dependent aminotransferase family. AstC subfamily
2002	class-III pyridoxal-phosphate-dependent aminotransferase family. BioA subfamily
2003	class-III pyridoxal-phosphate-dependent aminotransferase family. HemL subfamily
2004	class-III pyridoxal-phosphate-dependent aminotransferase family. LysJ subfamily
2005	class-III pyridoxal-phosphate-dependent aminotransferase family. OAT subfamily
2006	class-III pyridoxal-phosphate-dependent aminotransferase family. Putrescine aminotransferase subfamily
2007	class-IV pyridoxal-phosphate-dependent aminotransferase family
2008	class-V pyridoxal-phosphate-dependent aminotransferase family
2009	class-V pyridoxal-phosphate-dependent aminotransferase family. Csd subfamily
2010	class-V pyridoxal-phosphate-dependent aminotransferase family. EgtE subfamily
2011	class-V pyridoxal-phosphate-dependent aminotransferase family. MOCOS subfamily
2012	class-V pyridoxal-phosphate-dependent aminotransferase family. NifS/IscS subfamily
2013	class-V pyridoxal-phosphate-dependent aminotransferase family. PhnW subfamily
2014	class-V pyridoxal-phosphate-dependent aminotransferase family. SerC subfamily
2015	clathrin heavy chain family
2016	clathrin light chain family
2017	claudin family
2018	clavaminate synthase family
2019	Clc family
2020	CLCR family
2021	CLEC16A/gop-1 family
2022	CLN5 family
2023	cloacin colicin family
2024	cloacin immunity protein family
2025	closteroviridae capsid protein family
2026	closteroviridae minor capsid protein family
2027	clostridial glucosylating toxin (LCGT) family
2028	Clp1 family. Clp1 subfamily
2029	Clp1 family. NOL9/GRC3 subfamily
2030	ClpA/ClpB family
2031	ClpA/ClpB family. ClpC subfamily
2032	ClpA/ClpB family. ClpD subfamily
2033	ClpA/ClpB family. ClpE subfamily
2034	ClpA/ClpB family. ClpL subfamily
2035	ClpA/ClpB family. Torsin subfamily
2036	ClpS family
2037	CLPTM1 family
2038	ClpX chaperone family
2039	ClpX chaperone family. HslU subfamily
2040	CLTRN family
2041	CLU family
2042	CLUAP1 family
2043	clusterin family
2044	CMC family
2045	CMC4 family
2046	CMP-Neu5Ac hydroxylase family
2047	CMP-NeuNAc synthase family
2048	CmpA/NrtA family
2049	CMS1 family
2050	CN hydrolase family. Apolipoprotein N- acyltransferase subfamily
2051	CND1 (condensin subunit 1) family
2052	CND2 (condensin subunit 2) family
2053	CND2 H2 (condensin-2 subunit 2) family
2054	CND3 (condensin subunit 3) family
2055	CNEP1R1 family
2056	CNF-like-inhibitor family
2057	CNKSR family
2058	CNOT1 family
2059	CNOT11 family
2060	CNOT2/3/5 family
2061	CNOT9 family
2062	CNPPD1 family
2063	CNRIP family
2064	CNST family
2065	CNTF family
2066	cOA ring nuclease family
2067	CoA-transferase III family
2068	CoA-transferase III family. CaiB subfamily
2069	CoA-transferase III family. Frc subfamily
2070	CoA-transferase III family. Mesaconyl-CoA isomerase subfamily
